# transimpedance=20M	averages=1.0	pump_speed=0.1
# ch_7_config:	ch_0_config:	ch_6_config:	ch_1_config:	ch_5_config:	ch_2_config:	ch_4_config:	ch_3_config:	
# LED = 526 nm	LED = 438 nm	LED = 593 nm	LED = 453 nm	LED = 380 nm	LED = 472 nm	LED = 403 nm	LED = 640 nm	
# cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	
# ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	
# blk=1115.8+/-18.1pW	blk=3460.7+/-17.8pW	blk=505.3+/-19.5pW	blk=1202.7+/-17.2pW	blk=1494.7+/-25.1pW	blk=688.1+/-16.6pW	blk=700.3+/-17.5pW	blk=1413.2+/-15.7pW	
# t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	dark_7 [nW]	dark_0 [nW]	dark_6 [nW]	dark_1 [nW]	dark_5 [nW]	dark_2 [nW]	dark_4 [nW]	dark_3 [nW]	tmep[deg C]
6.071875	1.379437	6.086703	3.52794	6.101531	0.671407	6.116359	1.59917	6.131188	2.075259	6.146016	0.842311	6.160844	1.293985	6.175672	1.721244	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
6.190875	1.391644	6.205703	3.503525	6.220531	0.671407	6.235359	1.586962	6.250188	2.075259	6.265016	0.842311	6.279844	1.306192	6.294672	1.721244	0.183111	0.170904	0.122074	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
6.31	1.379437	6.324812	3.503525	6.339625	0.6592	6.354437	1.586962	6.36925	2.050844	6.384062	0.842311	6.398875	1.293985	6.413687	1.733451	0.170904	0.183111	0.122074	0.122074	0.207526	0.219733	0.195318	0.207526	31.1
6.428875	1.379437	6.443734	3.515732	6.458594	0.671407	6.473453	1.586962	6.488312	2.075259	6.503172	0.842311	6.518031	1.293985	6.532891	1.721244	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
6.548125	1.379437	6.562953	3.515732	6.577781	0.683615	6.592609	1.59917	6.607437	2.038636	6.622266	0.854518	6.637094	1.306192	6.651922	1.721244	0.170904	0.183111	0.134281	0.134281	0.207526	0.219733	0.207526	0.195318	31.1
6.667125	1.379437	6.681953	3.515732	6.696781	0.671407	6.711609	1.59917	6.726438	2.050844	6.741266	0.854518	6.756094	1.306192	6.770922	1.733451	0.170904	0.170904	0.134281	0.146489	0.207526	0.219733	0.195318	0.195318	31.1
6.786125	1.391644	6.800953	3.503525	6.815781	0.671407	6.830609	1.586962	6.845438	2.063051	6.860266	0.866726	6.875094	1.293985	6.889922	1.721244	0.183111	0.170904	0.146489	0.134281	0.207526	0.219733	0.207526	0.207526	31.1
6.90525	1.391644	6.920062	3.515732	6.934875	0.671407	6.949687	1.611377	6.9645	2.075259	6.979312	0.842311	6.994125	1.306192	7.008938	1.721244	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.207526	0.195318	31.1
7.024125	1.379437	7.038984	3.515732	7.053844	0.671407	7.068703	1.59917	7.083562	2.038636	7.098422	0.842311	7.113281	1.306192	7.128141	1.733451	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.195318	31.1
7.1435	1.379437	7.158328	3.515732	7.173156	0.6592	7.187984	1.59917	7.202813	2.038636	7.217641	0.842311	7.232469	1.293985	7.247297	1.757866	0.183111	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
7.2625	1.379437	7.277328	3.515732	7.292156	0.671407	7.306984	1.59917	7.321813	2.026429	7.336641	0.842311	7.351469	1.306192	7.366297	1.745659	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
7.3815	1.367229	7.396328	3.503525	7.411156	0.683615	7.425984	1.586962	7.440812	2.038636	7.455641	0.854518	7.470469	1.306192	7.485297	1.721244	0.170904	0.170904	0.134281	0.122074	0.219733	0.207526	0.195318	0.195318	31.1
7.500625	1.379437	7.515453	3.503525	7.530281	0.671407	7.545109	1.586962	7.559938	2.014222	7.574766	0.842311	7.589594	1.306192	7.604422	1.709037	0.183111	0.183111	0.122074	0.122074	0.207526	0.219733	0.207526	0.207526	31.1
7.61975	1.379437	7.634578	3.515732	7.649406	0.671407	7.664234	1.59917	7.679062	2.038636	7.693891	0.842311	7.708719	1.3184	7.723547	1.721244	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
7.738875	1.379437	7.753703	3.503525	7.768531	0.683615	7.783359	1.59917	7.798188	2.038636	7.813016	0.854518	7.827844	1.306192	7.842672	1.733451	0.170904	0.170904	0.134281	0.146489	0.219733	0.207526	0.195318	0.207526	31.1
7.857875	1.379437	7.872687	3.515732	7.8875	0.671407	7.902312	1.586962	7.917125	2.075259	7.931938	0.842311	7.94675	1.293985	7.961563	1.733451	0.170904	0.170904	0.146489	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
7.976875	1.379437	7.991687	3.515732	8.0065	0.671407	8.021313	1.59917	8.036125	2.075259	8.050937	0.842311	8.06575	1.293985	8.080563	1.733451	0.183111	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
